ExpirationDate: 01/14/2021
Ticker: AAPL
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
1220,312.5,327.7,340.5,0,0,0,0,0.493139
1750,100,86,96,-10.4,-9.42029,1,149,0.404768
1240,323.9,322.5,340.4,19.3,6.33617,2,18,0.518121
1770,98.8,50.1,59.2,0,0,1,4,0.330085
1260,240,309.5,327.4,0,0,3,4,0.512288
1280,260.69,298,317,0,0,23,27,0.511823
1810,69.8,69.5,79.5,0,0,25,37,0.395651
1300,281.59,284.5,301.5,0,0,2,44,0.49957
1830,93.44,64,72,0,0,1,22,0.386839
1320,273.2,273,291,3.20001,1.18519,1,39,0.497888
1850,56,59.5,69,0,0,10,59,0.388098
1340,258.29,261.5,279,0,0,4,8,0.492456
1360,235.89,251,269,0,0,10,13,0.4908
1380,203.1,241,258,0,0,1,2,0.486528
1400,145,228.5,247.5,0,0,2,125,0.482816
1420,219.95,216.5,233.5,43.42,24.5964,1,9,0.471445
1440,207.5,208.1,223.5,0,0,1,16,0.467847
1480,182.6,189,203.5,0,0,1,9,0.4592
1500,160,177.7,191,0,0,3,90,0.449125
1520,214.52,162.7,175.9,0,0,2,0,0.433367
1855,69.69,58.5,68,0,0,50,41,0.387751
1540,134.2,160.5,175,0,0,5,8,0.445619
1560,101,152,167,0,0,2,31,0.443121
1600,143,135.5,150,11,8.33333,1,103,0.434645
1640,112.7,118.5,132.5,0,0,2,8,0.423109
1895,76.2,49,57,0,0,3,67,0.376292
1660,124.5,112.5,127.5,0,0,4,29,0.424273
1680,117,105.5,121.5,0,0,4,27,0.42293
1720,93.6,95,105,-10.7,-10.2589,1,26,0.40927
1740,97.9,89,98.5,0,0,1,25,0.40531
1760,77.38,83,91,0,0,100,131,0.398604
1790,109.9,74.5,84.5,0,0,1,6,0.398073
1800,69.95,71.5,81,-7.75,-9.97426,1,81,0.394644
1840,65,62,71.5,11,20.3704,1,15,0.389899
1860,113.41,46,54.5,0,0,1,9,0.356147
1865,113.5,42.4,55.9,0,0,1,3,0.361724
1870,48.9,55,64,0,0,1,17,0.384081
1875,128,47,57.5,0,0,1,100,0.369765
1880,81.5,52.5,61.5,0,0,1,5,0.381854
1885,30.52,51.5,60,0,0,1,14,0.380049
1890,89.95,46.5,54.4,0,0,2,0,0.367629
1900,55.81,48.5,58,0,0,21,276,0.380789
1905,74.05,38,46,0,0,5,98,0.350814
1910,82.5,46,54,0,0,1,70,0.374217
1915,45.65,45.5,55,0,0,40,102,0.378729
1920,45.15,41.4,49.4,0,0,1,0,0.365668
1925,93.51,54.8,64.8,0,0,5,21,0.407641
1930,56,42.5,51,0,0,10,23,0.373683
1940,56.8,39.6,47.9,0,0,31,18,0.368865
1950,63.9,38.5,46.5,0,0,1,119,0.368559
1960,41,37,46,-29,-41.4286,2,32,0.370699
1970,40,35.9,40,-72.2,-64.3494,2,6,0.356818
1980,39.6,33.5,42.5,5.2,15.1163,2,70,0.367606
1990,73.4,30,40,0,0,5,90,0.363608
2000,33,32,39.2,6.5,24.5283,4,266,0.364546
2010,89.75,33.3,40.9,0,0,4,20,0.372984
2020,26.26,27.5,36,0,0,30,52,0.36122
2030,31,26,34.5,1.16,3.8874,1,25,0.359652
2040,28.2,25,34.5,0,0,117,513,0.362822
2100,25.6,17,26,-4.2,-14.094,1,375,0.351645
2200,15,8.5,17.3,3.9,35.1351,10,274,0.342849
2300,9.7,4.3,12.4,2.9,42.6471,7,250,0.341704
2400,5.8,5,8.7,1.5,34.8837,8,397,0.339591
2500,4.58,3.3,4.9,1.18,34.7059,4,361,0.325996
2600,1.35,1.3,3.5,0,0,1,217,0.326743
2700,2.15,0.7,3,0,0,1,270,0.335761
2800,1.7,1,1.7,0.2,13.3333,11,120,0.326026
2900,3.14,0.05,10,0,0,18,96,0.441122
3000,0.6,0.6,1.5,-0.00999999,-1.63934,13,236,0.348273
3100,0.55,0.05,3.3,0,0,2,164,0.39881
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: GM
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
8,11.65,14.1,18.8,0,0,15,17,0.901368
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66
3,15,18.7,23.45,0,0,0,1,0.953125
20,6.4,5.7,6.85,0.0799999,1.26582,26,1249,0.512212
10,13.8,12.3,17,0,0,10,220,0.824221
18,7.75,7.05,8.25,0.2,2.649,9,404,0.536137
13,7.6,10.85,12.7,0,0,10,278,0.652347
15,10.71,9.7,10.6,1.27,13.4534,38,385,0.622074
23,4.92,4.65,5.7,0.42,9.33333,137,5142,0.566411
25,3.79,3.6,4,0.29,8.28571,294,19161,0.522466
28,2.57,2.36,2.96,0.37,16.8182,44,3651,0.516606
30,1.79,1.59,1.9,0.26,16.9935,1186,9109,0.450201
32,1.27,1.09,1.4,0.21,19.8113,136,3673,0.436773
35,0.74,0.71,0.84,0.11,17.4603,581,24154,0.416998
37,0.51,0.42,0.65,0.1,24.3902,1044,16181,0.418951
40,0.27,0.23,0.28,0.06,28.5714,206,12145,0.377936
42,0.18,0.15,0.2,0.08,80,67,10314,0.376959
45,0.08,0.07,0.1,0.02,33.3333,88,13384,0.364264
47,0.08,0.01,0.11,0.04,100,46,878,0.390631
50,0.08,0.03,0.08,0.06,300,3089,30985,0.398444
55,0.05,0.02,0.05,0.03,150,32,8238,0.412115

Ticker: ADBE
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
110,186,209.1,213.15,0,0,1,0,0.734744
450,5.75,3.7,6.65,1.6,38.5542,3,487,0.336005
115,233.94,264.6,267.9,0,0,2,255,2.39862
490,4.1,0.91,4.95,0,0,1,321,0.359626
120,185.42,200,204.5,0,0,6,44,0.738406
125,189,195,199.5,0,0,1,98,0.710696
520,1,0.51,1.56,0,0,1,71,0.309089
135,161.1,185.5,190,0,0,1,42,0.679386
540,2,0.62,1.4,0,0,6,24,0.321296
265,72.1,73.5,77.9,0,0,17,177,0.455267
130,202.3,189,191,0,0,3,30,0.5575
285,66.45,60.45,64.2,0,0,11,160,0.431555
140,177.8,181,185.5,0,0,1,16,0.673221
150,166.15,171.5,176,0,0,1,79,0.641178
295,52.6,54.2,57.9,0,0,10,160,0.42127
145,173.05,176,180.5,0,0,5,116,0.648258
155,163.7,166.6,171.5,0,0,1,16,0.626957
160,135.11,149,154,0,0,1,0,1e-05
165,154.45,157,162,0,0,3,21,0.59412
170,145.29,152.5,157.4,0,0,1,26,0.584111
175,138.2,148,153,0,0,1,7,0.576115
180,127,143.05,147.35,0,0,3,0,0.546941
185,139.5,138.6,143.5,0,0,2,40,0.545903
190,141,134.05,139,0,0,1,36,0.535283
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66
195,144,174.05,179,0,0,3,21,1.22376
200,121.78,125.5,130,0,0,10,153,0.51856
210,117.25,116.7,120.8,0,0,1,54,0.531407
220,104,108.15,112.85,0,0,16,53,0.521306
225,105.45,104.1,108.4,-8.85001,-7.74279,1,15,0.508123
230,93.35,100.1,104.3,0,0,1,59,0.499791
235,97.95,96.15,100.35,0.709999,0.730151,1,0,0.493047
240,93.5,92.15,96.4,-13.61,-12.7066,18,124,0.485692
245,89.87,88.5,92.45,3.92001,4.5608,1,65,0.477788
250,81.8,84.1,88.9,0,0,25,177,0.474279
255,82.85,80.6,84.85,2.05,2.53712,19,125,0.46404
260,79.75,77,81.25,6.25,8.5034,15,424,0.458593
270,71.8,69.65,74.25,2.10001,3.01292,16,329,0.447912
560,0.7,0.04,1.03,0,0,4,96,0.321967
275,67.2,66.6,70.7,2.55,3.94431,22,110,0.441046
280,61.25,63.2,67.15,0,0,4,464,0.433569
290,53.7,57.3,61.25,0,0,2,403,0.428747
300,52,51,54.8,0,0,5,639,0.415594
305,48,48.2,52.25,0,0,4,384,0.414374
310,47.02,45.3,49.2,2.82,6.38009,6,528,0.407751
320,42.4,40,42.4,2.2,5.47264,77,601,0.38616
330,36.25,35.7,38.6,-0.25,-0.684932,7,651,0.388861
340,31.88,31,34.2,1.38,4.52459,8,643,0.383124
350,27,26.75,30.35,0.15,0.558658,41,1485,0.37937
360,24,22.95,25.4,3,14.2857,17,960,0.362631
370,20.2,19.5,21.5,-0.4,-1.94175,5,579,0.352225
380,18,16.5,18,0.799999,4.65116,39,480,0.342276
390,15.35,12.5,16.7,3.1,25.3061,5,589,0.351264
400,12.3,10.25,13,0.0299997,0.244497,60,482,0.33277
410,10.9,8.1,12.25,1.05,10.6599,4,267,0.343329
420,8.55,6.55,10.8,0.0500002,0.588237,5,211,0.344245
430,7.95,5.1,9.7,-0.900001,-10.1695,3,200,0.347419
440,6.7,3.65,7.75,1.25,22.9358,4,1393,0.337287
460,3.1,3.05,5.9,0,0,2,113,0.338111
470,4.95,1.34,4.8,0,0,8,335,0.332404
480,3.96,0.85,5.4,0,0,1,80,0.355567
500,1.6,1.01,2.97,0,0,11,211,0.329627

Ticker: ACN
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
105,101.34,74,79,0,0,5,36,0.511113
290,0.15,0,0.95,0,0,5,62,0.313483
75,76.7,101.8,106.2,0,0,0,0,0.581059
115,48.11,65.7,69.1,0,0,1,0,0.530766
80,128.3,132.1,135.3,0,0,75,15,1.95544
85,99.7,108,111.7,0,0,1,1,1.19294
90,121.75,86.1,90.3,0,0,17,0,0.563725
95,74.2,82.8,87.4,0,0,2,161,0.514287
100,63,77.6,82.5,0,0,2,83,0.591252
110,67.3,69,73.5,2.3,3.53847,5,696,0.549504
120,60.6,47,52,0,0,1,0,1e-05
125,38,56.9,60.8,0,0,1,0,0.504033
130,75.1,77.3,80.4,0,0,2,24,0.989563
135,72.55,76.8,79.9,0,0,2,20,1.02814
140,41.2,43.6,48.5,0,0,1,41,0.455633
145,42.65,30.2,34.4,0,0,1,65,0.191658
150,31.85,35.8,39.5,0,0,1,102,0.400854
155,34.2,32.6,36.4,14.5,73.6041,1,265,0.399267
160,27.5,29.2,33.8,0,0,1,291,0.403601
165,25.5,25.5,30.5,0,0,1,186,0.392462
170,21,23.3,27.1,0,0,2,69,0.377448
175,16.8,20.2,23.8,0,0,3,822,0.361975
180,19,18,20.9,2,11.7647,2,320,0.350653
185,14.8,16.2,18.3,0,0,2,247,0.341559
190,9.8,12.4,15.9,0,0,3,637,0.332953
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66
195,11.5,11.1,14.6,2.1,22.3404,1,160,0.339393
200,11.16,9.1,12.5,4.13,58.7482,20,1094,0.330207
205,9.1,7.2,10.2,2.5,37.8788,4,312,0.314582
210,5.29,6.3,9.7,0,0,41,160,0.327338
215,3.08,4.8,7.7,0,0,22,90,0.311012
220,4.22,3.2,6.3,0,0,11,449,0.302284
230,3.41,1.1,4.3,0,0,1,385,0.291938
240,1.35,1.65,3.1,0,0,4,273,0.289985
250,1.05,0.75,2.25,0,0,1,190,0.289558
260,0.9,0.6,1.6,0,0,1,111,0.288276
270,0.87,0.95,1.25,0,0,74,0,0.29322
